beer,0.69
biscuits,1.47
bottled water (mineral water),0.49
bread frozen (rolls),1.31
bread,0.86
breakfast cereals (cornflakes),2.64
chocolate,3.16
coffee ground & parchment,6.71
coffee liquid,0.55
crackers,0.98
crispbread,1.35
dressing,1.46
egg pasta,3.15
fruit frozen (raspberry),1.18
fruit juice (imported ingredients),2.86
fruit juice local,0.48
grain flour,0.87
ice cream,4.3
legume flour,1.32
legumes canned,0.78
legumes frozen,2.26
margarine,1.39
nuts covered with chocolate,4.12
nuts paste,1.84
oil,2.11
pasta,1.21
pesto sauce,2.72
sugar,0.78
sweets,1.99
"tomato puree,peeled, chopped",1.3
tomato sauce,1.19
vegetables canned,1.48
vegetables frozen,0.81
vegetal cream (soy cream),1.62
vegetal milk,0.54
vegetal proteins ,2.27
vegetal yogurt (soy yogurt),1.36
wine,0.66
yeast compressed,0.82
yeast dried,3.29
yeast liquid,0.5
beef bone free meat,25.75
beef meat with bone,17.96
buffalo bone free meat,78.8
butter,8.48
cheese fresh,5.45
cheese hard & semi-hard,9.59
edible insects (mealworms),2.84
eggs,3.2
honey,1.74
kangaroo,4.1
lamb bone free meat,25.23
lamb meat with bone,16.7
milk,1.44
pork bone free meat ,5.72
pork cured meat,5.99
pork meat with bone ,3.44
poultry bone free meat,3.88
poultry meat with bone,2.13
rabbit meat with bone,4.31
snails,0.73
yogurt,2.55
coffee green,0.49
dried fruit,0.81
fruit heated greenhouse,2.88
fruit imported,1.07
fruit not heated greenhouse (melon (g)),1.43
fruit openfield,0.4
grains,0.57
legumes,0.52
legumes not heated greenhouse (green bean (g)),0.28
mushrooms,2.06
nuts,1.11
rice,2.19
seeds,0.88
spicies,0.84
starchy tubers,0.27
vegetables heated greenhouse,2.55
vegetables not heated greenhouse,1.18
vegetables openfield,0.33
fish,5.19
fish frozen ,2.2
fish processed,2.12
shellfish ,5.67
shellfish frozen,11.47
